序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
1,curated,BB_BENCH_PRESS,杠铃卧推,杠铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
2,curated,DB_BENCH_PRESS,哑铃卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
3,curated,INCLINE_BB_PRESS,上斜杠铃卧推,杠铃,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,deltFront|triceps,,,,,,,
4,curated,INCLINE_DB_PRESS,上斜哑铃卧推,哑铃,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,deltFront|triceps,,,,,,,
5,curated,DECLINE_BB_PRESS,下斜杠铃卧推,杠铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
6,curated,DECLINE_DB_PRESS,下斜哑铃卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
7,curated,SMITH_BENCH_PRESS,史密斯卧推,史密斯,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
8,curated,MACHINE_CHEST_PRESS,坐姿器械推胸,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
9,curated,CABLE_FLY,绳索夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
10,curated,HIGH_CABLE_FLY,高位绳索夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
11,curated,LOW_CABLE_FLY,低位绳索夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
12,curated,DB_FLY,哑铃飞鸟,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
13,curated,INCLINE_DB_FLY,上斜哑铃飞鸟,哑铃,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,deltFront,,,,,,,
14,curated,PEC_DECK,蝴蝶机夹胸,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
15,curated,CHEST_DIP,双杠臂屈伸(胸),自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,triceps|deltFront,,,,,,,
16,curated,PUSH_UP,俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,triceps|deltFront|abs,,,,,,,
17,curated,INCLINE_PUSH_UP,上斜俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,triceps|deltFront,,,,,,,
18,curated,DECLINE_PUSH_UP,下斜俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,triceps|deltFront,,,,,,,
19,curated,DIAMOND_PUSH_UP,钻石俯卧撑,自重,胸,中下胸,胸,,中下胸,胸 > 中下胸,triceps,chest|deltFront,未派生L2,,,,,,
20,curated,MACHINE_INCLINE_PRESS,上斜器械推胸,器械,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,deltFront|triceps,,,,,,,
21,curated,SVEND_PRESS,斯文德推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
22,curated,PULL_UP,引体向上,自重,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|deltRear|forearms,,,,,,,
23,curated,CHIN_UP,反握引体,自重,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|forearms,,,,,,,
24,curated,WIDE_PULL_UP,宽距引体,自重,背,背阔,背,背阔肌,,背 > 背阔肌,lats,deltRear|biceps|forearms,,,,,,,
25,curated,LAT_PULLDOWN,高位下拉,绳索,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|deltRear,,,,,,,
26,curated,CLOSE_LAT_PULLDOWN,窄握高位下拉,绳索,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|forearms,,,,,,,
27,curated,STRAIGHT_ARM_PULLDOWN,直臂下压,绳索,背,背阔,背,背阔肌,,背 > 背阔肌,lats,triceps,,,,,,,
28,curated,BB_ROW,杠铃划船,杠铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|lowerBack|deltRear,,,,,,,
29,curated,PENDLAY_ROW,潘德利划船,杠铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|lowerBack,,,,,,,
30,curated,T_BAR_ROW,T杠划船,T杠,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
31,curated,DB_ROW,单臂哑铃划船,哑铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
32,curated,CHEST_SUPPORTED_ROW,俯卧支撑划船,哑铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|deltRear|biceps,,,,,,,
33,curated,SEATED_CABLE_ROW,坐姿绳索划船,绳索,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
34,curated,MACHINE_ROW,坐姿器械划船,器械,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
35,curated,INVERTED_ROW,反式划船,自重,背,中背,背,背阔肌,,背 > 背阔肌,lats,biceps|traps|deltRear,,,,,,,
36,curated,DEADLIFT,硬拉,杠铃,背,下背,背,背阔肌|竖脊肌,,背 > 背阔肌|竖脊肌,lats|lowerBack,glutes|hams|traps|forearms,,,,,,,
37,curated,RACK_PULL,架上拉,杠铃,背,下背,背,竖脊肌,,背 > 竖脊肌,lowerBack,glutes|traps|lats|forearms,,,,,,,
38,curated,DB_PULLOVER,哑铃仰卧上拉,哑铃,背,背阔,背,背阔肌,,背 > 背阔肌,lats,chest|triceps,,,,,,,
39,curated,BACK_EXTENSION,山羊挺身,自重,背,下背,背,竖脊肌,,背 > 竖脊肌,lowerBack,glutes|hams,,,,,,,
40,curated,GOOD_MORNING,早安式,杠铃,背,下背,背,竖脊肌,,背 > 竖脊肌,lowerBack,hams|glutes,,,,,,,
41,curated,MEADOWS_ROW,梅多斯划船,杠铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
42,curated,KROC_ROW,单臂高次哑铃划船,哑铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|forearms,,,,,,,
43,curated,ASSISTED_PULL_UP,辅助引体向上,器械,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|deltRear|forearms,,,,,,,
44,curated,OHP,站姿杠铃推举,杠铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
45,curated,SEATED_BB_PRESS,坐姿杠铃推举,杠铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
46,curated,DB_SHOULDER_PRESS,哑铃肩推,哑铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
47,curated,ARNOLD_PRESS,阿诺德推举,哑铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
48,curated,MACHINE_SHOULDER_PRESS,器械肩推,器械,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
49,curated,LANDMINE_PRESS,杠铃单臂推,杠铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|chest,,,,,,,
50,curated,PIKE_PUSH_UP,派克俯卧撑,自重,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps,,,,,,,
51,curated,LATERAL_RAISE,哑铃侧平举,哑铃,肩,中束,肩,三角肌,中束,肩 > 中束,deltSide,,,,,,,,
52,curated,CABLE_LATERAL_RAISE,绳索侧平举,绳索,肩,中束,肩,三角肌,中束,肩 > 中束,deltSide,,,,,,,,
53,curated,FRONT_RAISE,哑铃前平举,哑铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,,,,,,,,
54,curated,CABLE_FRONT_RAISE,绳索前平举,绳索,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,,,,,,,,
55,curated,REAR_DELT_FLY,俯身飞鸟,哑铃,肩,后束,肩,三角肌,后束,肩 > 后束,deltRear,traps,,,,,,,
56,curated,REVERSE_PEC_DECK,反向蝴蝶机,器械,肩,后束,肩,三角肌,后束,肩 > 后束,deltRear,traps,,,,,,,
57,curated,FACE_PULL,面拉,绳索,肩,后束,肩,三角肌,后束,肩 > 后束,deltRear,traps,,,,,,,
58,curated,UPRIGHT_ROW,杠铃直立划船,杠铃,肩,中束,肩,三角肌,中束,肩 > 中束,deltSide,traps|biceps,,,,,,,
59,curated,DB_UPRIGHT_ROW,哑铃直立划船,哑铃,肩,中束,肩,三角肌,中束,肩 > 中束,deltSide,traps|biceps,,,,,,,
60,curated,BTN_PRESS,颈后推举,杠铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
61,curated,MACHINE_LATERAL_RAISE,器械侧平举,器械,肩,中束,肩,三角肌,中束,肩 > 中束,deltSide,,,,,,,,
62,curated,SHRUG_BB,杠铃耸肩,杠铃,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,forearms,名称像肩部,,,,,,
63,curated,SHRUG_DB,哑铃耸肩,哑铃,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,forearms,名称像肩部,,,,,,
64,curated,BB_CURL,杠铃弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
