序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
64,curated,BB_CURL,杠铃弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
65,curated,EZ_BAR_CURL,EZ杠弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
66,curated,DB_CURL,哑铃弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
67,curated,HAMMER_CURL,锤式弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
68,curated,INCLINE_DB_CURL,上斜哑铃弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
69,curated,CONCENTRATION_CURL,集中弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
70,curated,SPIDER_CURL,蜘蛛弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
71,curated,PREACHER_CURL,牧师凳弯举,杠铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
72,curated,CABLE_CURL,绳索弯举,绳索,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
73,curated,MACHINE_CURL,器械弯举,器械,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,,,,,,,,
74,curated,ZOTTMAN_CURL,扎特曼弯举,哑铃,二头,,手臂,肱二头肌,,手臂 > 肱二头肌,biceps,forearms,,,,,,,
75,curated,REVERSE_CURL,反握弯举,杠铃,二头,,手臂,前臂,,手臂 > 前臂,forearms,biceps,,,,,,,
76,curated,TRICEP_PUSHDOWN,绳索下压,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
77,curated,ROPE_PUSHDOWN,绳柄下压,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
78,curated,SKULL_CRUSHER,仰卧臂屈伸,杠铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
79,curated,CLOSE_GRIP_BENCH,窄距卧推,杠铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,chest|deltFront,,,,,,,
80,curated,OVERHEAD_TRICEP_EXT,哑铃过顶臂屈伸,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
81,curated,CABLE_OVERHEAD_EXT,绳索过顶臂屈伸,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
82,curated,TRICEP_KICKBACK,哑铃臂屈伸后踢,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
83,curated,TRICEP_DIP,双杠臂屈伸(三头),自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,chest|deltFront,,,,,,,
