序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
22,curated,PULL_UP,引体向上,自重,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|deltRear|forearms,,,,,,,
23,curated,CHIN_UP,反握引体,自重,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|forearms,,,,,,,
24,curated,WIDE_PULL_UP,宽距引体,自重,背,背阔,背,背阔肌,,背 > 背阔肌,lats,deltRear|biceps|forearms,,,,,,,
25,curated,LAT_PULLDOWN,高位下拉,绳索,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|deltRear,,,,,,,
26,curated,CLOSE_LAT_PULLDOWN,窄握高位下拉,绳索,背,背阔,背,背阔肌,,背 > 背阔肌,lats,biceps|forearms,,,,,,,
27,curated,STRAIGHT_ARM_PULLDOWN,直臂下压,绳索,背,背阔,背,背阔肌,,背 > 背阔肌,lats,triceps,,,,,,,
28,curated,BB_ROW,杠铃划船,杠铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|lowerBack|deltRear,,,,,,,
29,curated,PENDLAY_ROW,潘德利划船,杠铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|lowerBack,,,,,,,
30,curated,T_BAR_ROW,T杠划船,T杠,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
31,curated,DB_ROW,单臂哑铃划船,哑铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
32,curated,CHEST_SUPPORTED_ROW,俯卧支撑划船,哑铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|deltRear|biceps,,,,,,,
33,curated,SEATED_CABLE_ROW,坐姿绳索划船,绳索,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
34,curated,MACHINE_ROW,坐姿器械划船,器械,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
35,curated,INVERTED_ROW,反式划船,自重,背,中背,背,背阔肌,,背 > 背阔肌,lats,biceps|traps|deltRear,,,,,,,
36,curated,DEADLIFT,硬拉,杠铃,背,下背,背,背阔肌|竖脊肌,,背 > 背阔肌|竖脊肌,lats|lowerBack,glutes|hams|traps|forearms,,,,,,,
37,curated,RACK_PULL,架上拉,杠铃,背,下背,背,竖脊肌,,背 > 竖脊肌,lowerBack,glutes|traps|lats|forearms,,,,,,,
38,curated,DB_PULLOVER,哑铃仰卧上拉,哑铃,背,背阔,背,背阔肌,,背 > 背阔肌,lats,chest|triceps,,,,,,,
39,curated,BACK_EXTENSION,山羊挺身,自重,背,下背,背,竖脊肌,,背 > 竖脊肌,lowerBack,glutes|hams,,,,,,,
40,curated,GOOD_MORNING,早安式,杠铃,背,下背,背,竖脊肌,,背 > 竖脊肌,lowerBack,hams|glutes,,,,,,,
41,curated,MEADOWS_ROW,梅多斯划船,杠铃,背,中背,背,背阔肌,,背 > 背阔肌,lats,traps|biceps|deltRear,,,,,,,
