序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
849,imported,SKI_ERG,滑雪机,其他,有氧,稳态有氧,有氧,,,有氧,,,有氧名称需复核,,,,,,
850,imported,BAND_MOUNTAIN_CLIMBER,弹力带-登山者,弹力带,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
851,imported,BAND_LYING_MOUNTAIN_CLIMBER,弹力带-仰卧登山者,弹力带,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
852,imported,RUN_CARDIO,跑步_有氧训练,自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
853,imported,RUN_HALF_SQUAT,跑步接半蹲,自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
854,imported,RUN_JUMP_SQUAT,跑跳接半蹲跳,自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
855,imported,RUN_SINGLE_LEG_JUMP,跑步接单腿跳,自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
856,imported,SKIING,滑雪,自重,有氧,稳态有氧,有氧,,,有氧,,,有氧名称需复核,,,,,,
857,imported,ELLIPTICAL,椭圆机(计时),其他,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
858,imported,STAIR_CLIMB,爬楼梯,自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
859,imported,RUN,跑步（有氧）,自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
860,imported,SPIN_BIKE,动感单车（有氧）,其他,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
861,imported,JUMP_ROPE,跳绳,自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
862,imported,INCLINE_WALK,爬坡走,自重,有氧,稳态有氧,有氧,,,有氧,,,有氧名称需复核,,,,,,
863,imported,BUTT_KICK_RUN,后踢腿跑,自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
864,imported,BB_TRAP_BAR_CARRY,六角杠农夫行走,杠铃,有氧,稳态有氧,有氧,,,有氧,,,有氧名称需复核,,,,,,
865,imported,KB_FARMER_CARRY,壶铃农夫行走,壶铃,有氧,稳态有氧,有氧,,,有氧,,,有氧名称需复核,,,,,,
866,imported,TREADMILL_WALK,跑步机步行,其他,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
867,imported,ROWING_MACHINE,划船机训练,其他,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
868,imported,BRISK_WALK,快走,自重,有氧,稳态有氧,有氧,,,有氧,,,有氧名称需复核,,,,,,
869,imported,AIR_WALKER,漫步机,其他,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
870,imported,RUN_TIMED,跑步(计时),自重,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
871,imported,SPIN_BIKE_TIMED,动感单车（计时）,其他,有氧,稳态有氧,有氧,,,有氧,,,,,,,,,
