序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
1,curated,BB_BENCH_PRESS,杠铃卧推,杠铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
2,curated,DB_BENCH_PRESS,哑铃卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
3,curated,INCLINE_BB_PRESS,上斜杠铃卧推,杠铃,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,deltFront|triceps,,,,,,,
4,curated,INCLINE_DB_PRESS,上斜哑铃卧推,哑铃,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,deltFront|triceps,,,,,,,
5,curated,DECLINE_BB_PRESS,下斜杠铃卧推,杠铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
6,curated,DECLINE_DB_PRESS,下斜哑铃卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
7,curated,SMITH_BENCH_PRESS,史密斯卧推,史密斯,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
8,curated,MACHINE_CHEST_PRESS,坐姿器械推胸,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront|triceps,,,,,,,
9,curated,CABLE_FLY,绳索夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
10,curated,HIGH_CABLE_FLY,高位绳索夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
11,curated,LOW_CABLE_FLY,低位绳索夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
12,curated,DB_FLY,哑铃飞鸟,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
13,curated,INCLINE_DB_FLY,上斜哑铃飞鸟,哑铃,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,deltFront,,,,,,,
14,curated,PEC_DECK,蝴蝶机夹胸,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
15,curated,CHEST_DIP,双杠臂屈伸(胸),自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,triceps|deltFront,,,,,,,
16,curated,PUSH_UP,俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,triceps|deltFront|abs,,,,,,,
17,curated,INCLINE_PUSH_UP,上斜俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,triceps|deltFront,,,,,,,
18,curated,DECLINE_PUSH_UP,下斜俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,triceps|deltFront,,,,,,,
19,curated,DIAMOND_PUSH_UP,钻石俯卧撑,自重,胸,中下胸,胸,,中下胸,胸 > 中下胸,triceps,chest|deltFront,未派生L2,,,,,,
20,curated,MACHINE_INCLINE_PRESS,上斜器械推胸,器械,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,deltFront|triceps,,,,,,,
21,curated,SVEND_PRESS,斯文德推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,deltFront,,,,,,,
154,imported,DECLINE_HAMMER_CHEST_PRESS,下斜悍马机推胸,悍马机,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
155,imported,INCLINE_HAMMER_CHEST_PRESS,上斜悍马机推胸,悍马机,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,,,,,,,
156,imported,CHEST_OPENER,扩胸开合,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
157,imported,MACHINE_LOW_CHEST_FLY,器械坐姿下夹胸,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
158,imported,INCLINE_HAMMER_FLY,上斜悍马机飞鸟,悍马机,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,,,,,,,
159,imported,BB_LEG_RAISED_BENCH_PRESS,抬腿杠铃卧推,杠铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
160,imported,PAUSE_BENCH_PRESS,暂停卧推,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
161,imported,FLAT_DB_BENCH_PRESS,平躺哑铃卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
162,imported,HAMMER_CHEST_PRESS,悍马机推胸,悍马机,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
163,imported,DECLINE_SMITH_BENCH_PRESS,下斜史密斯机卧推,史密斯,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
164,imported,INCLINE_SMITH_BENCH_PRESS,上斜史密斯机卧推,史密斯,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,,,,,,,
165,imported,SMITH_VBAR_BENCH_PRESS,史密斯 V-bar 卧推,史密斯,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
166,imported,FLAT_DB_FLY,平躺哑铃飞鸟,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
167,imported,HANDLE_PEC_DECK,把手式蝴蝶机飞鸟,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
168,imported,PEC_DECK_FLY,蝴蝶机飞鸟,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
169,imported,CABLE_CROSSOVER,绳索十字夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
170,imported,STEP_PUSH_UP,上台阶俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
171,imported,KNEELING_PUSH_UP,跪姿俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
172,imported,REVERSE_PUSH_UP,反手俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
173,imported,FLOOR_FLY,地板飞鸟,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
174,imported,FLAT_CABLE_FLY,平板绳索夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
175,imported,INCLINE_CABLE_FLY,上斜绳索夹胸,绳索,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,,,,,,,
176,imported,DECLINE_CABLE_FLY,下斜绳索夹胸,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
177,imported,REVERSE_INCLINE_DB_PRESS,反手上斜哑铃卧推,哑铃,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,,,,,,,
178,imported,REVERSE_DB_BENCH_PRESS,反手哑铃卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
179,imported,FLOOR_REVERSE_DB_PRESS,地板反手哑铃卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
180,imported,FLOOR_DB_NEUTRAL_PRESS,地板哑铃卧推（锤式）,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
181,imported,BB_PLATE_SQUEEZE_PRESS,杠铃片夹胸,杠铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
182,imported,HAMMER_BENCH_PRESS,悍马机卧推,悍马机,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
183,imported,CLAP_PUSH_UP,鼓掌俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
184,imported,BAND_HIGH_FLY,弹力绳-高位飞鸟,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
185,imported,BAND_LOW_FLY,弹力绳-低位飞鸟,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
186,imported,BAND_CROSSOVER_FLY,弹力绳-十字飞鸟,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
187,imported,BAND_PUSH_UP,弹力绳-阻力俯卧撑,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
188,imported,BAND_BENCH_PRESS,弹力绳-卧推,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
189,imported,SIDE_SINGLE_ARM_HAMMER_PRESS,侧身单边悍马机推胸,悍马机,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
190,imported,SINGLE_ARM_HAMMER_PRESS,单边悍马机推胸,悍马机,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
191,imported,NEUTRAL_GRIP_MACHINE_PRESS,对握式器械推胸,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
192,imported,UPRIGHT_MACHINE_CHEST_PRESS,直立器械推胸,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
