序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
126,curated,PLANK,平板支撑,自重,核心,核心稳定,核心,腹直肌,,核心 > 腹直肌,abs,obliques|lowerBack,,,,,,,
127,curated,SIDE_PLANK,侧平板支撑,自重,核心,核心稳定,核心,腹斜肌,,核心 > 腹斜肌,obliques,abs,,,,,,,
128,curated,HANGING_LEG_RAISE,悬垂举腿,自重,核心,下腹,核心,腹直肌,下腹,核心 > 腹直肌 > 下腹,abs,obliques|forearms,,,,,,,
129,curated,HANGING_KNEE_RAISE,悬垂提膝,自重,核心,下腹,核心,腹直肌,下腹,核心 > 腹直肌 > 下腹,abs,obliques|forearms,,,,,,,
130,curated,LEG_RAISE,仰卧举腿,自重,核心,下腹,核心,腹直肌,下腹,核心 > 腹直肌 > 下腹,abs,obliques,,,,,,,
131,curated,CRUNCH,卷腹,自重,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,,,,,,,,
132,curated,CABLE_CRUNCH,绳索卷腹,绳索,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,,,,,,,,
133,curated,BICYCLE_CRUNCH,单车卷腹,自重,核心,腹斜肌,核心,腹斜肌,,核心 > 腹斜肌,obliques,abs,,,,,,,
134,curated,V_UP,V字两头起,自重,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,obliques,,,,,,,
135,curated,RUSSIAN_TWIST,俄罗斯转体,自重,核心,腹斜肌,核心,腹斜肌,,核心 > 腹斜肌,obliques,abs,,,,,,,
136,curated,AB_WHEEL,健腹轮,自重,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,obliques|lowerBack|lats,,,,,,,
137,curated,MOUNTAIN_CLIMBER,登山者,自重,核心,核心稳定,核心,腹直肌,,核心 > 腹直肌,abs,obliques|quads,,,,,,,
138,curated,DEAD_BUG,死虫式,自重,核心,核心稳定,核心,腹直肌,,核心 > 腹直肌,abs,obliques,,,,,,,
139,curated,WOODCHOPPER,绳索伐木,绳索,核心,腹斜肌,核心,腹斜肌,,核心 > 腹斜肌,obliques,abs,,,,,,,
140,curated,PALLOF_PRESS,帕洛夫推,绳索,核心,腹斜肌,核心,腹斜肌,,核心 > 腹斜肌,obliques,abs,,,,,,,
141,curated,TOE_TOUCH,仰卧摸脚,自重,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,,,,,,,,
142,curated,FLUTTER_KICK,交替踢腿,自重,核心,下腹,核心,腹直肌,下腹,核心 > 腹直肌 > 下腹,abs,obliques,,,,,,,
143,curated,HOLLOW_HOLD,空心支撑,自重,核心,核心稳定,核心,腹直肌,,核心 > 腹直肌,abs,obliques,,,,,,,
640,imported,SEATED_MACHINE_CRUNCH,坐姿器械卷腹,器械,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,,,,,,,,
641,imported,PLANK_ALTERNATING_ELBOW,平板交替手肘支撑,自重,核心,核心稳定,核心,腹直肌,,核心 > 腹直肌,abs,,,,,,,,
642,imported,PLANK_ALTERNATING_LEG,平板支撑交替摆腿,自重,核心,核心稳定,核心,腹直肌,,核心 > 腹直肌,abs,,,,,,,,
643,imported,KNEELING_TWIST,跪姿转体,自重,核心,腹斜肌,核心,腹斜肌,,核心 > 腹斜肌,obliques,,,,,,,,
644,imported,BIRD_DOG,猎鸟狗,自重,核心,核心稳定,核心,腹直肌,,核心 > 腹直肌,abs,,,,,,,,
645,imported,CABLE_PULLEY_CRUNCH,滑轮器卷腹,绳索,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,,,,,,,,
646,imported,ELBOW_PLANK,平板手肘撑,自重,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,,,,,,,,
647,imported,ALTERNATING_LEG_RAISE,交替抬腿,自重,核心,下腹,核心,腹直肌,下腹,核心 > 腹直肌 > 下腹,abs,,,,,,,,
648,imported,DB_FLAT_BENCH_PULL,平板哑铃提拉,哑铃,核心,上腹,核心,腹直肌,上腹,核心 > 腹直肌 > 上腹,abs,,,,,,,,
649,imported,PLANK_SINGLE_LEG_RAISE,平板支撑抬腿_单侧,自重,核心,下腹,核心,腹直肌,下腹,核心 > 腹直肌 > 下腹,abs,,,,,,,,
