序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
144,curated,POWER_CLEAN,高翻,杠铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,traps|quads,glutes|hams|lowerBack|deltFront,,,,,,,
145,curated,HANG_CLEAN,悬垂翻,杠铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,traps|quads,glutes|hams|deltFront,,,,,,,
146,curated,CLEAN_AND_JERK,挺举,杠铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,quads|deltFront,glutes|hams|traps|triceps|lowerBack,,,,,,,
147,curated,SNATCH,抓举,杠铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,deltFront|traps,glutes|hams|quads|lowerBack|triceps,,,,,,,
148,curated,THRUSTER,推举深蹲,杠铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,quads|deltFront,glutes|triceps|traps,,,,,,,
149,curated,KB_CLEAN,壶铃翻,壶铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,traps|glutes,hams|quads|deltFront|forearms,,,,,,,
150,curated,KB_SNATCH,壶铃抓举,壶铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,deltFront|glutes,hams|traps|quads|forearms,,,,,,,
151,curated,TURKISH_GET_UP,土耳其起立,壶铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,abs,deltFront|obliques|glutes|quads,,,,,,,
152,curated,BURPEE,波比跳,自重,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,quads,chest|triceps|abs|glutes,,,,,,,
153,curated,FARMER_CARRY,农夫行走,哑铃,功能性,,功能性,,负重搬运,功能性 > 负重搬运,forearms|traps,abs|obliques|glutes|quads,,,,,,,
757,imported,KNEELING_REACH,跪姿前伸手,自重,功能性,,功能性,,,功能性,,,,,,,,,
758,imported,BAND_LYING_HIP_ABDUCTION,弹力带侧躺腿外展,弹力带,功能性,,功能性,,髋臀激活,功能性 > 髋臀激活,,,,,,,,,
759,imported,CABLE_ADDUCTION,绳索内收,绳索,功能性,,功能性,,,功能性,,,,,,,,,
760,imported,DB_THRUSTER,哑铃火箭推,哑铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,,,,,,,,,
761,imported,BB_THRUSTER,杠铃火箭推,杠铃,功能性,,功能性,,爆发奥举,功能性 > 爆发奥举,,,,,,,,,
762,imported,STATIC_SIDE_PLANK,静态侧卧支撑,自重,功能性,,功能性,,,功能性,,,,,,,,,
763,imported,BEAR_CRAWL_HOLD,固定熊爬,自重,功能性,,功能性,,动态控制,功能性 > 动态控制,,,,,,,,,
764,imported,HAMMER_ABDUCTION,悍马机外展,悍马机,功能性,,功能性,,髋臀激活,功能性 > 髋臀激活,,,,,,,,,
765,imported,MACHINE_SCISSOR,器械大剪刀,器械,功能性,,功能性,,动态控制,功能性 > 动态控制,,,,,,,,,
766,imported,HAMMER_SCISSOR,悍马机大剪刀,悍马机,功能性,,功能性,,动态控制,功能性 > 动态控制,,,,,,,,,
767,imported,MACHINE_STANDING_LOW_SQUEEZE,站姿器械下夹,器械,功能性,,功能性,,,功能性,,,,,,,,,
768,imported,LYING_BENT_ARM_RAISE,仰卧屈臂上抬,自重,功能性,,功能性,,,功能性,,,,,,,,,
769,imported,BAND_FORWARD_PRESS,弹力绳-前推,弹力带,功能性,,功能性,,,功能性,,,,,,,,,
770,imported,BAND_UPWARD_PRESS,弹力绳-上推,弹力带,功能性,,功能性,,,功能性,,,,,,,,,
771,imported,BAND_SEATED_FORWARD_PRESS,弹力带-坐姿前推,弹力带,功能性,,功能性,,,功能性,,,,,,,,,
772,imported,BAND_PALLOF_PRESS,弹力带pallor推,弹力带,功能性,,功能性,,,功能性,,,,,,,,,
773,imported,HAMMER_NAUTILUS,悍马机-鹦鹉螺,悍马机,功能性,,功能性,,,功能性,,,,,,,,,
774,imported,BAND_LEG_RAISE,弹力带-提腿,弹力带,功能性,,功能性,,,功能性,,,,,,,,,
775,imported,BAND_STANDING_KICKBACK,弹力带-站姿踢腿,弹力带,功能性,,功能性,,,功能性,,,,,,,,,
776,imported,BAND_STANDING_ADDUCTION,弹力带-站姿单腿内收,弹力带,功能性,,功能性,,,功能性,,,,,,,,,
