序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
115,curated,HIP_ABDUCTION,髋外展,器械,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
116,curated,HIP_THRUST,杠铃臀冲,杠铃,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,hams|quads,,,,,,,
117,curated,BB_GLUTE_BRIDGE,杠铃臀桥,杠铃,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,hams,,,,,,,
118,curated,SINGLE_LEG_HIP_THRUST,单腿臀冲,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,hams,,,,,,,
119,curated,CABLE_KICKBACK,绳索后踢腿,绳索,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,hams,,,,,,,
120,curated,GLUTE_KICKBACK_MACHINE,器械后踢腿,器械,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,hams,,,,,,,
121,curated,SUMO_DEADLIFT,相扑硬拉,杠铃,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,quads|hams|lowerBack|adductors,,,,,,,
122,curated,SUMO_SQUAT,相扑深蹲,哑铃,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,quads|adductors|hams,,,,,,,
123,curated,CURTSY_LUNGE,屈膝礼箭步蹲,哑铃,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,quads|hams|adductors,,,,,,,
124,curated,FROG_PUMP,蛙泵,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,hams,,,,,,,
125,curated,KETTLEBELL_SWING,壶铃摆荡,壶铃,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,hams|lowerBack|deltFront,,,,,,,
596,imported,MACHINE_HIP_THRUST,器械臀冲,器械,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
597,imported,MACHINE_DONKEY_KICK,器械驴踢,器械,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
598,imported,MACHINE_SIDE_KICK,器械侧踢,器械,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
599,imported,HAMMER_HIP_THRUST,悍马机臀冲,悍马机,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
600,imported,BENT_OVER_DONKEY_KICK,俯身驴踢,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
601,imported,SMITH_HIP_THRUST,史密斯臀冲,史密斯,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
602,imported,MACHINE_GLUTE_KICKBACK,器械后踢,器械,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
603,imported,GLUTE_KICKBACK,后踢,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
604,imported,SMITH_GLUTE_KICKBACK,史密斯后踢,史密斯,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
605,imported,BAND_STANDING_GLUTE_KICKBACK,弹力绳-站姿后踢,弹力带,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
606,imported,STANDING_DONKEY_KICK,站姿驴踢,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
607,imported,CABLE_SIDE_KICK,绳索侧踢,绳索,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
608,imported,ELEVATED_HIP_THRUST,垫高自重臀冲,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
609,imported,BAND_KNEELING_HIP_THRUST,弹力带跪姿臀冲,弹力带,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
610,imported,BAND_HIP_ABDUCTION_2,弹力带髋外展,弹力带,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
611,imported,MACHINE_REAR_LEG_SWING,挂片后摆腿,器械,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
612,imported,MACHINE_STANDING_HIP_THRUST,挂片站姿臀冲,器械,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
613,imported,STRAIGHT_LEG_ABDUCTION,直腿髋外展,自重,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
614,imported,HIP_THRUST_RACK,臀冲架臀冲,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
615,imported,BAND_HIP_THRUST,弹力带臀冲,弹力带,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
616,imported,BAND_SINGLE_LEG_HIP_ADDUCTION,弹力带单腿站姿髋内收,弹力带,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
617,imported,BAND_HIP_ADDUCTION,弹力带髋内收,弹力带,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
618,imported,BAND_STANDING_HIP_ABDUCTION,弹力带站姿髋外展,弹力带,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
619,imported,SIDE_PLANK_HIP_ABDUCTION,侧桥髋外展,自重,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
620,imported,POSTERIOR_TILT_GLUTE_BRIDGE,后倾臀桥,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
621,imported,BB_SINGLE_LEG_HIP_THRUST,杠铃单腿臀推,杠铃,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
622,imported,KNEELING_SIDE_KICK,跪姿屈腿侧踢,自重,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
623,imported,SWIMMER_KICK_GLUTE,泳式踢腿_臀部训练,自重,臀,臀大肌,臀,臀大肌,,臀 > 臀大肌,glutes,,,,,,,,
624,imported,SIDE_LYING_HIP_ADDUCTION,侧卧髋内收,自重,臀,臀中肌,臀,臀中肌,,臀 > 臀中肌,gluteMed,,,,,,,,
