序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
89,curated,BB_SQUAT,杠铃深蹲,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams|lowerBack|adductors,,,,,,,
90,curated,FRONT_SQUAT,颈前深蹲,杠铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|lowerBack|abs,,,,,,,
91,curated,SMITH_SQUAT,史密斯深蹲,史密斯,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams,,,,,,,
92,curated,HACK_SQUAT,哈克深蹲,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes,,,,,,,
93,curated,GOBLET_SQUAT,高脚杯深蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|adductors,,,,,,,
94,curated,LEG_PRESS,腿举,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams,,,,,,,
95,curated,LEG_EXTENSION,腿屈伸,器械,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
96,curated,BULGARIAN_SPLIT_SQUAT,保加利亚分腿蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams|adductors,,,,,,,
97,curated,LUNGE,箭步蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams,,,,,,,
98,curated,WALKING_LUNGE,行走箭步蹲,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams,,,,,,,
99,curated,STEP_UP,箱式登踏,哑铃,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams,,,,,,,
100,curated,SISSY_SQUAT,西西里深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,,,,,,,,
101,curated,PISTOL_SQUAT,单腿深蹲,自重,腿,股四头,腿,股四头肌,,腿 > 股四头肌,quads,glutes|hams|abs,,,,,,,
102,curated,LEG_CURL,俯卧腿弯举,器械,腿,腘绳肌,腿,腘绳肌,,腿 > 腘绳肌,hams,calves,,,,,,,
