序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
872,imported,LYING_FOAM_RELEASE_CHEST,仰卧泡沫轴开胸放松,其他,热身拉伸,泡沫轴放松,热身拉伸,,泡沫轴放松,热身拉伸 > 泡沫轴放松,,,,,,,,,
873,imported,CAT_STRETCH,猫式伸展,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
874,imported,BACK_CHEST_STRETCH,背部胸肌拉伸,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
875,imported,SPINE_STRETCH,脊柱拉伸,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
876,imported,KNEELING_LAT_STRETCH,跪姿背阔肌拉伸,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
877,imported,LYING_LOW_BACK_STRETCH,仰卧下背拉伸,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
878,imported,LYING_LOW_BACK_STRETCH_BENT,仰卧下背拉伸_屈膝,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
879,imported,WEIGHTED_LUNGE_STRETCH,负重拉伸箭步蹲,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
880,imported,HIP_FLEXOR_STRETCH,髋部屈伸拉伸,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
881,imported,ELBOW_CIRCLE,肘关节环绕臂部运动,自重,热身拉伸,动态热身,热身拉伸,,动态热身,热身拉伸 > 动态热身,,,拉伸名称需复核,,,,,,
882,imported,ARM_CIRCLE_STRETCH,手臂画圈肩部拉伸,自重,热身拉伸,动态热身,热身拉伸,,动态热身,热身拉伸 > 动态热身,,,,,,,,,
883,imported,DB_SHOULDER_CIRCLE,站姿哑铃肩部环绕,哑铃,热身拉伸,动态热身,热身拉伸,,动态热身,热身拉伸 > 动态热身,,,拉伸名称需复核,,,,,,
884,imported,ALTERNATING_ARM_CIRCLE,站立交替手臂画圈,自重,热身拉伸,动态热身,热身拉伸,,动态热身,热身拉伸 > 动态热身,,,拉伸名称需复核,,,,,,
885,imported,DOUBLE_ARM_CIRCLE,站立双臂画圈,自重,热身拉伸,动态热身,热身拉伸,,动态热身,热身拉伸 > 动态热身,,,拉伸名称需复核,,,,,,
886,imported,SINGLE_ARM_CIRCLE,站立单臂画圈,自重,热身拉伸,动态热身,热身拉伸,,动态热身,热身拉伸 > 动态热身,,,拉伸名称需复核,,,,,,
887,imported,BICEP_FOAM_RELEASE,俯卧泡沫轴肱二头肌放松,其他,热身拉伸,泡沫轴放松,热身拉伸,,泡沫轴放松,热身拉伸 > 泡沫轴放松,,,,,,,,,
888,imported,BAND_OVERHEAD_TRICEP_STRETCH,弹力带颈后三头肌伸展,弹力带,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
889,imported,INCLINE_DB_TRICEP_STRETCH,上斜哑铃三头伸展,哑铃,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
890,imported,LYING_SINGLE_ARM_TRICEP_STRETCH,仰卧单臂旋后握距肱三头肌伸展,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
891,imported,LYING_DB_TRICEP_STRETCH,仰卧哑铃旋前握肱三头肌伸展,哑铃,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
892,imported,KNEELING_TRICEP_STRETCH,跪姿肱三头肌伸展,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
893,imported,CABLE_BENT_OVER_TRICEP_STRETCH,绳索俯身过顶三头肌伸展,绳索,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
894,imported,SEATED_DB_TRICEP_STRETCH,坐姿哑铃三头肌伸展,哑铃,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
895,imported,MACHINE_TRICEP_STRETCH,器械三头伸展,器械,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
896,imported,SIDE_LYING_TRICEP_FOAM_RELEASE,侧卧泡沫轴肱三头肌放松,其他,热身拉伸,泡沫轴放松,热身拉伸,,泡沫轴放松,热身拉伸 > 泡沫轴放松,,,,,,,,,
897,imported,CABLE_SINGLE_ARM_TRICEP_STRETCH,站姿单臂绳索肱三头肌伸展,绳索,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
898,imported,MACHINE_OVERHEAD_TRICEP_STRETCH,器械过顶三头肌伸展,器械,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
899,imported,SUSP_TRICEP_STRETCH,吊环肱三头肌伸展,悬挂,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
900,imported,SEATED_CALF_STRETCH,坐姿小腿拉伸,自重,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
901,imported,BAND_CALF_STRETCH,弹力绳小腿拉伸,弹力带,热身拉伸,静态拉伸,热身拉伸,,静态拉伸,热身拉伸 > 静态拉伸,,,,,,,,,
