序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
44,curated,OHP,站姿杠铃推举,杠铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
45,curated,SEATED_BB_PRESS,坐姿杠铃推举,杠铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
46,curated,DB_SHOULDER_PRESS,哑铃肩推,哑铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
47,curated,ARNOLD_PRESS,阿诺德推举,哑铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
48,curated,MACHINE_SHOULDER_PRESS,器械肩推,器械,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|traps,,,,,,,
49,curated,LANDMINE_PRESS,杠铃单臂推,杠铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps|chest,,,,,,,
50,curated,PIKE_PUSH_UP,派克俯卧撑,自重,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,triceps,,,,,,,
51,curated,LATERAL_RAISE,哑铃侧平举,哑铃,肩,中束,肩,三角肌,中束,肩 > 中束,deltSide,,,,,,,,
52,curated,CABLE_LATERAL_RAISE,绳索侧平举,绳索,肩,中束,肩,三角肌,中束,肩 > 中束,deltSide,,,,,,,,
53,curated,FRONT_RAISE,哑铃前平举,哑铃,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,,,,,,,,
54,curated,CABLE_FRONT_RAISE,绳索前平举,绳索,肩,前束,肩,三角肌,前束,肩 > 前束,deltFront,,,,,,,,
55,curated,REAR_DELT_FLY,俯身飞鸟,哑铃,肩,后束,肩,三角肌,后束,肩 > 后束,deltRear,traps,,,,,,,
56,curated,REVERSE_PEC_DECK,反向蝴蝶机,器械,肩,后束,肩,三角肌,后束,肩 > 后束,deltRear,traps,,,,,,,
57,curated,FACE_PULL,面拉,绳索,肩,后束,肩,三角肌,后束,肩 > 后束,deltRear,traps,,,,,,,
58,curated,UPRIGHT_ROW,杠铃直立划船,杠铃,肩,中束,肩,三角肌,中束,肩 > 中束,deltSide,traps|biceps,,,,,,,
