序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
19,curated,DIAMOND_PUSH_UP,钻石俯卧撑,自重,胸,中下胸,胸,,中下胸,胸 > 中下胸,triceps,chest|deltFront,未派生L2,,,,,,
62,curated,SHRUG_BB,杠铃耸肩,杠铃,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,forearms,名称像肩部,,,,,,
63,curated,SHRUG_DB,哑铃耸肩,哑铃,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,forearms,名称像肩部,,,,,,
211,imported,INCLINE_SHOULDER_TAP_PUSH_UP,上斜触肩俯卧撑,自重,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,名称像肩部,,,,,,
225,imported,BAND_BENT_OVER_REAR_FLY,弹力带-俯身后束飞鸟,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
226,imported,SUSP_REAR_DELT_FLY,TRX-后束飞鸟,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
228,imported,CABLE_CROSS_REAR_FLY,绳索交叉后束飞鸟,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
229,imported,BAND_BENT_REAR_DELT_FLY,弹力带俯身肩后束飞鸟,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
230,imported,MACHINE_SEATED_SINGLE_REAR_FLY,器械坐姿单臂后束飞鸟,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
310,imported,SHOULDER_WIDTH_PULL_UP,肩宽握引体向上_中握距,自重,背,背阔,背,背阔肌,,背 > 背阔肌,lats,,名称像肩部,,,,,,
334,imported,BAND_STANDING_REAR_ROW,站姿弹力带后束划船,弹力带,背,中背,背,菱形肌,,背 > 菱形肌,rhomboids,,名称像肩部,,,,,,
335,imported,SUSP_SINGLE_ARM_REAR_ROW,吊环单臂后束划船,悬挂,背,中背,背,菱形肌,,背 > 菱形肌,rhomboids,,名称像肩部,,,,,,
336,imported,SUSP_REAR_ROW,吊环后束划船,悬挂,背,中背,背,菱形肌,,背 > 菱形肌,rhomboids,,名称像肩部,,,,,,
390,imported,INCLINE_DB_SHRUG,哑铃上斜仰卧耸肩,哑铃,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,,名称像肩部,,,,,,
391,imported,DB_INCLINE_PRONE_SHRUG,哑铃上斜俯卧耸肩,哑铃,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,,名称像肩部,,,,,,
392,imported,MACHINE_SHRUG,器械耸肩,器械,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,,名称像肩部,,,,,,
393,imported,DEADLIFT_SHRUG,硬拉器耸肩,自重,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,,名称像肩部,,,,,,
394,imported,SMITH_SHRUG,史密斯耸肩,史密斯,斜方肌,,背,斜方肌,,背 > 斜方肌,traps,,名称像肩部,,,,,,
